idx,from_airport_id,to_airport_id,aircraft_id
585,DOM,SXM,AT5
586,FDF,CAY,320
587,FDF,PTP,AT5
588,FDF,SDQ,AT5
589,FDF,SLU,AT5
590,PTP,ANU,AT5
591,PTP,DOM,AT5
592,PTP,FDF,AT5
593,PTP,SBH,DHT
594,PTP,SDQ,AT5
595,PTP,SFG,AT5
596,PTP,SXM,AT5
597,SBH,PTP,DHT
598,SDQ,PTP,AT5
599,SDQ,SXM,AT5
600,SFG,PTP,AT5
601,SLU,FDF,AT5
602,SXM,DOM,AT5
603,SXM,PTP,AT5
604,SXM,SDQ,AT5
605,BHY,XIY,321
606,CAN,CKG,321
607,CAN,CTU,321
608,CAN,SPN,330
609,CGO,CGQ,321
610,CGO,CKG,321
611,CGO,CTU,321
612,CGO,HGH,320
613,CGO,HRB,320
614,CGO,KMG,320
615,CGO,URC,320
616,CGQ,CGO,321
617,CGQ,NKG,320
618,CGQ,TNA,321
619,CGQ,TSN,320
620,CKG,CAN,321
621,CKG,CGO,321
622,CKG,CSX,319
623,CKG,CTU,330
624,CKG,CZX,320
625,CKG,DLC,320
626,CKG,DYG,320
627,CKG,HAK,319
628,CKG,HGH,320
629,CKG,HKT,321
630,CKG,INC,321
631,CKG,KHN,319
632,CKG,KMG,319
633,CKG,LHW,319
634,CKG,LJG,319
635,CKG,LXA,319
636,CKG,NGB,319
637,CKG,NKG,319
638,CKG,NNG,319
639,CKG,PEK,321
640,CKG,PVG,320
641,CKG,PZI,319
642,CKG,SWA,319
643,CKG,SYD,330
644,CKG,SYX,320
645,CKG,SZX,320
646,CKG,TNA,321
647,CKG,TSA,320
648,CKG,TSN,319
649,CKG,TYN,321
650,CKG,URC,320
651,CKG,WUH,319
652,CKG,WUX,319
653,CKG,XIY,319
654,CKG,XNN,320
655,CKG,YIH,319
656,CKG,ZHA,319
657,CSX,CKG,319
658,CSX,CTU,320
659,CSX,FOC,320
660,CSX,KMG,320
661,CSX,SHE,320
662,CSX,WNZ,319
663,CSX,XMN,321
664,CTU,CAN,321
665,CTU,CGO,321
666,CTU,CKG,330
667,CTU,CSX,320
668,CTU,DCY,319
669,CTU,DSN,319
670,CTU,HAK,321
671,CTU,HDG,319
672,CTU,HET,320
673,CTU,HFE,321
674,CTU,HGH,320
675,CTU,HKG,320
676,CTU,HKT,321
677,CTU,ICN,321
678,CTU,INC,321
679,CTU,JHG,319
680,CTU,JIQ,320
681,CTU,JZH,319
682,CTU,KHN,321
683,CTU,KMG,320
684,CTU,KOW,320
685,CTU,KWE,320
686,CTU,LHW,319
687,CTU,LJG,319
688,CTU,LUM,319
689,CTU,LXA,330
690,CTU,LZY,319
691,CTU,MEL,330
692,CTU,NKG,319
693,CTU,NNG,319
694,CTU,PEK,330
695,CTU,PVG,321
696,CTU,PZI,319
697,CTU,SHE,330
698,CTU,SJW,320
699,CTU,SYX,321
700,CTU,SZX,320
701,CTU,TAO,321
702,CTU,TNA,321
703,CTU,TSA,320
704,CTU,TSN,321
705,CTU,TYN,319
706,CTU,URC,319
707,CTU,WNZ,320
708,CTU,WUH,319
709,CTU,WUX,320
710,CTU,WXN,319
711,CTU,XIC,320
712,CTU,XIY,320
713,CTU,XMN,320
714,CTU,XNN,320
715,CTU,XUZ,320
716,CTU,YIH,320
717,CTU,YTY,319
718,CZX,CKG,320
719,CZX,HRB,321
720,CZX,XMN,321
721,CZX,ZUH,320
722,DAT,TYN,319
723,DCY,CTU,319
724,DLC,CKG,320
725,DLC,HGH,320
726,DLC,HRB,320
727,DLC,TNA,321
728,DLC,XUZ,320
729,DNH,LHW,319
730,DSN,CTU,319
731,DSN,SHE,319
732,DYG,CKG,320
733,DYG,NKG,319
734,FOC,CSX,320
735,FOC,XIY,319
736,GXH,LXA,319
737,GXH,XIY,319
738,HAK,CKG,319
739,HAK,CTU,321
740,HAK,HGH,320
741,HAK,NGB,321
742,HAK,ZUH,320
743,HDG,CTU,319
744,HET,CTU,320
745,HFE,CTU,321
746,HGH,CGO,320
747,HGH,CKG,320
748,HGH,CTU,319
749,HGH,DLC,320
750,HGH,HAK,320
751,HGH,KWE,320
752,HGH,TSN,320
753,HGH,TYN,320
754,HKG,CTU,320
755,HKG,YIH,320
756,HKG,ZHA,319
757,HKT,CKG,321
758,HKT,CTU,321
759,HRB,CGO,320
760,HRB,CZX,321
761,HRB,DLC,320
762,HRB,INC,321
763,HRB,NGB,321
764,HRB,NKG,319
765,HRB,NZH,321
766,HRB,SJW,321
767,HRB,TNA,320
768,HRB,TSN,321
769,HRB,WNZ,321
770,HRB,WUH,321
771,HRB,XIY,321
772,HRB,XUZ,320
773,ICN,CTU,321
774,INC,CKG,321
775,INC,CTU,321
776,INC,HRB,321
777,INC,KWL,320
778,JGN,LHW,319
779,JHG,CTU,319
780,JHG,KMG,319
781,JIQ,CTU,320
782,JJN,KWE,320
783,JJN,WUH,319
784,JZH,CTU,319
785,KHG,URC,319
786,KHN,CKG,319
787,KHN,CTU,321
788,KHN,KMG,319
789,KHN,NGB,321
790,KMG,CGO,320
791,KMG,CKG,319
792,KMG,CSX,320
793,KMG,CTU,320
794,KMG,JHG,319
795,KMG,KHN,319
796,KMG,KWE,320
797,KMG,LUM,319
798,KMG,NGB,320
799,KMG,NKG,320
800,KMG,TAO,320
801,KMG,TNA,320
802,KMG,TPE,320
803,KMG,WXN,320
804,KMG,XIY,320
805,KMG,XMN,320
806,KMG,XUZ,320
807,KOW,CTU,320
808,KOW,XMN,320
809,KWE,CTU,320
